file,family,domain,domain_length,total_contacts,total_hbonds,total_salt,total_hydrophobic,alpha_contacts,beta_contacts,interface_residues,mean_plddt
camsap1_full_tubulin_complex_model.cif,CAMSAP1,ckk,135,117,14,2,11,26,91,20,70.20064037
camsap1_full_tubulin_complex_model.cif,CAMSAP1,c_terminus,5,0,0,0,0,0,0,0,30.89591948
camsap1_n_terminus_tubulin_complex_model.cif,CAMSAP1,n_terminus,215,128,15,2,3,20,108,14,70.7939504
camsap2_cc1_cc2_linker_tubulin_complex_model.cif,CAMSAP2,cc1_cc2_linker,93,202,18,7,24,83,119,19,20.14058179
camsap2_cc2_cc3_linker_tubulin_complex_model.cif,CAMSAP2,cc2_cc3_linker,239,742,78,12,141,178,564,58,25.43328259
camsap2_cc2_tubulin_complex_model.cif,CAMSAP2,cc2,40,543,47,7,38,233,310,31,36.61643359
camsap2_cc3_ckk_linker_tubulin_complex_model.cif,CAMSAP2,cc3_ckk_linker,110,292,24,9,33,112,180,40,21.56833776
camsap2_cc3_tubulin_complex_model.cif,CAMSAP2,cc3,73,222,36,18,2,164,58,28,46.86171505
camsap2_cc_ckk_tubulin_complex_model.cif,CAMSAP2,cc,483,696,91,25,65,283,413,57,43.42026091
camsap2_cc_ckk_tubulin_complex_model.cif,CAMSAP2,cc3_ckk_linker,110,125,14,7,0,82,43,13,33.52300892
camsap2_cc_ckk_tubulin_complex_model.cif,CAMSAP2,ckk,135,307,31,4,13,148,159,28,71.49132155
camsap2_cc_tubulin_complex_model.cif,CAMSAP2,cc,483,700,85,37,83,565,135,75,40.70784975
camsap2_ch_cc1_linker_tubulin_complex_model.cif,CAMSAP2,ch_cc1_linker,420,2522,252,32,456,1233,1289,129,26.18373547
camsap2_ch_cc_tubulin_complex_model.cif,CAMSAP2,ch,114,0,0,0,0,0,0,0,63.96636374
camsap2_ch_cc_tubulin_complex_model.cif,CAMSAP2,ch_cc1_linker,420,106,9,5,4,59,47,21,30.21241053
camsap2_ch_cc_tubulin_complex_model.cif,CAMSAP2,cc,483,435,51,22,18,305,130,75,39.53431407
camsap2_ch_ckk_tubulin_complex_model.cif,CAMSAP2,ch,114,78,12,4,1,21,57,17,68.14525779
camsap2_ch_ckk_tubulin_complex_model.cif,CAMSAP2,linker,10,0,0,0,0,0,0,0,45.02391667
camsap2_ch_ckk_tubulin_complex_model.cif,CAMSAP2,ckk,135,161,22,14,26,87,74,27,70.81432195
camsap2_ch_tubulin_complex_model.cif,CAMSAP2,ch,114,157,13,3,29,91,66,17,66.66549
camsap2_ckk_tubulin_complex_model.cif,CAMSAP2,ckk,135,92,12,10,10,5,87,17,71.44881882
camsap2_delcc_tubulin_complex_model.cif,CAMSAP2,n_terminus,221,33,5,2,0,33,0,9,70.82133653
camsap2_delcc_tubulin_complex_model.cif,CAMSAP2,ch,114,13,2,2,0,1,12,4,72.1577288
camsap2_delcc_tubulin_complex_model.cif,CAMSAP2,ch_cc1_linker,420,511,47,11,53,169,342,53,33.7575333
camsap2_delcc_tubulin_complex_model.cif,CAMSAP2,cc3_ckk_linker,110,110,13,2,19,19,91,8,28.93043862
camsap2_delcc_tubulin_complex_model.cif,CAMSAP2,ckk,135,93,17,9,0,49,44,18,69.87767472
camsap2_delcc_tubulin_complex_model.cif,CAMSAP2,c_terminus,6,0,0,0,0,0,0,0,33.4481713
camsap2_delch_tubulin_complex_model.cif,CAMSAP2,n_terminus,221,134,4,1,9,0,134,15,69.0357521
camsap2_delch_tubulin_complex_model.cif,CAMSAP2,ch_cc1_linker,420,696,68,4,76,0,696,34,31.49763715
camsap2_delch_tubulin_complex_model.cif,CAMSAP2,cc1,38,41,4,0,0,0,41,7,58.60829692
camsap2_delch_tubulin_complex_model.cif,CAMSAP2,cc1_cc2_linker,93,0,0,0,0,0,0,0,36.54319605
camsap2_delch_tubulin_complex_model.cif,CAMSAP2,cc2,40,54,7,2,0,0,54,5,62.17290049
camsap2_delch_tubulin_complex_model.cif,CAMSAP2,cc2_cc3_linker,239,120,12,0,37,113,7,13,33.99991933
camsap2_delch_tubulin_complex_model.cif,CAMSAP2,cc3,73,214,34,19,15,138,76,24,68.8847735
camsap2_delch_tubulin_complex_model.cif,CAMSAP2,cc3_ckk_linker,110,70,15,3,1,53,17,13,37.92864339
camsap2_delch_tubulin_complex_model.cif,CAMSAP2,ckk,135,356,57,23,21,86,270,53,80.81439015
camsap2_delch_tubulin_complex_model.cif,CAMSAP2,c_terminus,6,0,0,0,0,0,0,0,34.24222884
camsap2_delckk_tubulin_complex_model.cif,CAMSAP2,n_terminus,221,26,0,0,1,8,18,2,71.3564389
camsap2_delckk_tubulin_complex_model.cif,CAMSAP2,ch,114,61,8,6,2,51,10,8,73.5483189
camsap2_delckk_tubulin_complex_model.cif,CAMSAP2,ch_cc1_linker,420,47,4,2,11,2,45,4,33.17833743
camsap2_delckk_tubulin_complex_model.cif,CAMSAP2,cc1,38,0,0,0,0,0,0,0,58.07563576
camsap2_delckk_tubulin_complex_model.cif,CAMSAP2,cc1_cc2_linker,93,0,0,0,0,0,0,0,35.53119248
camsap2_delckk_tubulin_complex_model.cif,CAMSAP2,cc2,40,0,0,0,0,0,0,0,62.82817269
camsap2_delckk_tubulin_complex_model.cif,CAMSAP2,cc2_cc3_linker,239,122,12,0,30,111,11,15,32.65252665
camsap2_delckk_tubulin_complex_model.cif,CAMSAP2,cc3,73,187,27,19,10,106,81,24,68.24093185
camsap2_delckk_tubulin_complex_model.cif,CAMSAP2,cc3_ckk_linker,110,571,74,14,29,224,347,45,34.00417563
camsap2_delckk_tubulin_complex_model.cif,CAMSAP2,c_terminus,6,35,4,0,9,30,5,3,32.40250661
camsap2_full_tubulin_complex_model.cif,CAMSAP2,n_terminus,221,12,1,0,0,12,0,3,71.3906632
camsap2_full_tubulin_complex_model.cif,CAMSAP2,ch,114,83,13,3,2,28,55,11,73.56001075
camsap2_full_tubulin_complex_model.cif,CAMSAP2,ch_cc1_linker,420,103,11,1,16,10,93,13,33.62736029
camsap2_full_tubulin_complex_model.cif,CAMSAP2,cc1,38,33,2,0,5,0,33,5,54.76715757
camsap2_full_tubulin_complex_model.cif,CAMSAP2,cc1_cc2_linker,93,10,2,2,5,0,10,4,37.625531
camsap2_full_tubulin_complex_model.cif,CAMSAP2,cc2,40,15,0,0,1,0,15,4,60.60235064
camsap2_full_tubulin_complex_model.cif,CAMSAP2,cc2_cc3_linker,239,153,14,0,41,108,45,19,34.41157031
camsap2_full_tubulin_complex_model.cif,CAMSAP2,cc3,73,216,32,16,16,139,77,24,65.1333516
camsap2_full_tubulin_complex_model.cif,CAMSAP2,cc3_ckk_linker,110,16,4,2,0,9,7,3,35.85961026
camsap2_full_tubulin_complex_model.cif,CAMSAP2,ckk,135,338,43,16,20,66,272,50,80.41946537
camsap2_full_tubulin_complex_model.cif,CAMSAP2,c_terminus,6,0,0,0,0,0,0,0,31.10433532
camsap2_n_terminus_tubulin_complex_model.cif,CAMSAP2,n_terminus,221,172,19,2,24,107,65,12,70.66712364
camsap3_cc1_cc2_linker_tubulin_complex_model.cif,CAMSAP3,cc1_cc2_linker,67,430,47,6,57,172,258,40,20.31633402
camsap3_cc1_tubulin_complex_model.cif,CAMSAP3,cc1,35,700,61,6,12,246,454,27,39.06958903
camsap3_cc2_cc3_linker_tubulin_complex_model.cif,CAMSAP3,cc2_cc3_linker,166,749,93,20,82,418,331,67,26.1023359
camsap3_cc2_tubulin_complex_model.cif,CAMSAP3,cc2,34,892,87,2,110,472,420,26,36.49082062
camsap3_cc3_ckk_linker_tubulin_complex_model.cif,CAMSAP3,cc3_ckk_linker,172,691,79,13,42,317,374,70,27.09844892
camsap3_cc3_tubulin_complex_model.cif,CAMSAP3,cc3,41,92,9,9,11,86,6,14,51.46167339
camsap3_cc_ckk_tubulin_complex_model.cif,CAMSAP3,cc,343,301,32,12,42,301,0,38,45.95838169
camsap3_cc_ckk_tubulin_complex_model.cif,CAMSAP3,cc3_ckk_linker,172,90,12,9,3,34,56,12,33.49849004
camsap3_cc_ckk_tubulin_complex_model.cif,CAMSAP3,ckk,135,107,10,0,3,107,0,14,72.14935404
camsap3_cc_tubulin_complex_model.cif,CAMSAP3,cc,343,299,30,16,45,297,2,42,45.17335051
camsap3_ch_cc1_linker_tubulin_complex_model.cif,CAMSAP3,ch_cc1_linker,281,625,45,3,67,255,370,65,29.48859578
camsap3_ch_cc_tubulin_complex_model.cif,CAMSAP3,ch,110,124,14,7,2,85,39,15,68.66207315
camsap3_ch_cc_tubulin_complex_model.cif,CAMSAP3,ch_cc1_linker,281,206,24,1,36,130,76,20,31.50355077
camsap3_ch_cc_tubulin_complex_model.cif,CAMSAP3,cc,343,565,74,31,53,433,132,73,43.59332289
camsap3_ch_ckk_tubulin_complex_model.cif,CAMSAP3,ch,110,84,13,2,4,17,67,11,67.36535434
camsap3_ch_ckk_tubulin_complex_model.cif,CAMSAP3,linker,10,5,0,0,1,1,4,3,42.23183333
camsap3_ch_ckk_tubulin_complex_model.cif,CAMSAP3,ckk,135,193,22,7,38,127,66,26,70.72076495
camsap3_ch_tubulin_complex_model.cif,CAMSAP3,ch,110,121,17,1,5,64,57,15,64.89770303
camsap3_ckk_tubulin_complex_model.cif,CAMSAP3,ckk,135,37,6,6,0,6,31,7,69.32322205
camsap3_delcc_tubulin_complex_model.cif,CAMSAP3,n_terminus,202,21,1,1,0,0,21,3,73.50377931
camsap3_delcc_tubulin_complex_model.cif,CAMSAP3,ch,110,72,6,5,0,10,62,8,74.13870837
camsap3_delcc_tubulin_complex_model.cif,CAMSAP3,ch_cc1_linker,281,540,38,6,99,369,171,49,33.82187452
camsap3_delcc_tubulin_complex_model.cif,CAMSAP3,cc3_ckk_linker,172,61,9,4,5,0,61,14,30.91502933
camsap3_delcc_tubulin_complex_model.cif,CAMSAP3,ckk,135,151,24,12,7,0,151,21,70.33190887
camsap3_delcc_tubulin_complex_model.cif,CAMSAP3,c_terminus,6,0,0,0,0,0,0,0,26.85554762
camsap3_delch_tubulin_complex_model.cif,CAMSAP3,n_terminus,202,248,32,3,33,99,149,25,68.55159201
camsap3_delch_tubulin_complex_model.cif,CAMSAP3,ch_cc1_linker,281,44,5,2,0,20,24,9,29.4333717
camsap3_delch_tubulin_complex_model.cif,CAMSAP3,cc1,35,11,2,0,0,11,0,2,57.04851652
camsap3_delch_tubulin_complex_model.cif,CAMSAP3,cc1_cc2_linker,67,71,7,3,1,66,5,6,32.38589672
camsap3_delch_tubulin_complex_model.cif,CAMSAP3,cc2,34,29,3,1,0,29,0,5,60.9690054
camsap3_delch_tubulin_complex_model.cif,CAMSAP3,cc2_cc3_linker,166,332,39,9,47,283,49,38,34.15892267
camsap3_delch_tubulin_complex_model.cif,CAMSAP3,cc3,41,80,10,10,7,80,0,10,70.15299154
camsap3_delch_tubulin_complex_model.cif,CAMSAP3,cc3_ckk_linker,172,50,4,0,0,23,27,5,33.61292816
camsap3_delch_tubulin_complex_model.cif,CAMSAP3,ckk,135,114,14,5,5,73,41,17,70.7186274
camsap3_delch_tubulin_complex_model.cif,CAMSAP3,c_terminus,6,0,0,0,0,0,0,0,30.43208333
camsap3_delckk_tubulin_complex_model.cif,CAMSAP3,n_terminus,202,15,2,0,0,0,15,2,73.83468714
camsap3_delckk_tubulin_complex_model.cif,CAMSAP3,ch,110,120,13,4,11,28,92,17,75.37189506
camsap3_delckk_tubulin_complex_model.cif,CAMSAP3,ch_cc1_linker,281,223,32,3,38,171,52,25,32.15417599
camsap3_delckk_tubulin_complex_model.cif,CAMSAP3,cc1,35,18,0,0,0,18,0,4,46.10629055
camsap3_delckk_tubulin_complex_model.cif,CAMSAP3,cc1_cc2_linker,67,0,0,0,0,0,0,0,31.7952273
camsap3_delckk_tubulin_complex_model.cif,CAMSAP3,cc2,34,0,0,0,0,0,0,0,49.07304142
camsap3_delckk_tubulin_complex_model.cif,CAMSAP3,cc2_cc3_linker,166,262,29,6,36,231,31,37,36.1689022
camsap3_delckk_tubulin_complex_model.cif,CAMSAP3,cc3,41,96,13,9,8,96,0,9,71.77721298
camsap3_delckk_tubulin_complex_model.cif,CAMSAP3,cc3_ckk_linker,172,984,117,21,50,775,209,36,32.66146378
camsap3_delckk_tubulin_complex_model.cif,CAMSAP3,c_terminus,6,0,0,0,0,0,0,0,25.39795238
camsap3_full_tubulin_complex_model.cif,CAMSAP3,n_terminus,202,0,0,0,0,0,0,0,72.28045885
camsap3_full_tubulin_complex_model.cif,CAMSAP3,ch,110,0,0,0,0,0,0,0,73.41703235
camsap3_full_tubulin_complex_model.cif,CAMSAP3,ch_cc1_linker,281,639,64,3,104,293,346,35,33.6207914
camsap3_full_tubulin_complex_model.cif,CAMSAP3,cc1,35,9,1,0,0,2,7,3,58.41743824
camsap3_full_tubulin_complex_model.cif,CAMSAP3,cc1_cc2_linker,67,0,0,0,0,0,0,0,33.506891
camsap3_full_tubulin_complex_model.cif,CAMSAP3,cc2,34,0,0,0,0,0,0,0,60.52445004
camsap3_full_tubulin_complex_model.cif,CAMSAP3,cc2_cc3_linker,166,215,16,6,34,210,5,30,38.13523868
camsap3_full_tubulin_complex_model.cif,CAMSAP3,cc3,41,80,10,5,7,80,0,8,70.68457182
camsap3_full_tubulin_complex_model.cif,CAMSAP3,cc3_ckk_linker,172,76,13,7,0,63,13,12,35.82352972
camsap3_full_tubulin_complex_model.cif,CAMSAP3,ckk,135,116,10,1,2,111,5,18,71.427373
camsap3_full_tubulin_complex_model.cif,CAMSAP3,c_terminus,6,0,0,0,0,0,0,0,29.45935714
camsap3_n_terminus_tubulin_complex_model.cif,CAMSAP3,n_terminus,202,1774,146,15,234,1765,9,74,66.71341755
